run,gap_seed,ego_seed,low_level,opinion_reward,max_reward,reward_diff,opinion_progress,max_progress,opinion_success,max_success,opinion_collision,max_collision,opinion_time,max_time,opinion_min_distance,max_min_distance,opinion_switch_count,max_switch_count
49,714537754,1929245186,SAC,288.3637636816951,142.29653394248362,146.06722973921148,0.9379195867573964,0.9385409702178809,1.0,1.0,0.0,0.0,7.84999999999998,7.549999999999981,3.946333171964899,3.946428980294442,0,0
50,1725048950,1193309983,SAC,280.29116311056003,135.19521897351774,145.0959441370423,0.9383092967228748,0.9380388027555295,1.0,1.0,0.0,0.0,7.7499999999999805,7.299999999999982,5.099148135787409,4.822918396178578,0,0
51,588093310,1849076400,SAC,-240.80000000000342,139.17560021322572,-379.9756002132292,0.0,0.9381665009903877,0.0,1.0,0.0,0.0,40.04999999999986,7.099999999999983,4.452600501490838,4.2424916035214615,0,0
52,1195809357,1783684941,SAC,288.45115079829463,142.2537804252579,146.19737037303673,0.9382027939008444,0.9384340162293392,1.0,1.0,0.0,0.0,7.84999999999998,7.549999999999981,3.9868552096263374,3.985301574992975,0,0
53,1540910400,1633982921,SAC,288.35647207370204,142.2963685966189,146.06010347708315,0.937900826100575,0.9385422853528866,1.0,1.0,0.0,0.0,7.84999999999998,7.549999999999981,3.9449682438129745,3.94507578452078,0,0
54,991070207,648200381,SAC,171.10433466964142,103.19993456441074,67.90440010523068,0.9385694981897308,0.938001284639,1.0,1.0,0.0,0.0,8.899999999999991,7.89999999999998,2.32162930513765,2.806575755397396,2,0
55,356416554,756849392,SAC,184.17438979233393,123.26947254840849,60.90491724392544,0.9387460178765736,0.9385342479525673,1.0,1.0,0.0,0.0,20.65000000000016,7.599999999999981,3.631043824040518,3.6336627005639195,0,0
56,649821629,996247158,SAC,150.46473109052448,93.35666809382425,57.10806299670023,0.9386779536860421,0.9380672911611072,1.0,1.0,0.0,0.0,23.950000000000205,7.4499999999999815,3.9481128336353626,3.6212819048973617,0,0
57,1002170858,51810462,SAC,280.98367949854594,136.4461383380509,144.53754116049504,0.9381682973070429,0.937908448537282,1.0,1.0,0.0,0.0,8.04999999999998,7.499999999999981,3.5051651226858755,3.4664772845357605,0,0
58,2082899071,783156687,SAC,283.94856700690684,141.62629743249335,142.3222695744135,0.9386159369820546,0.938579491520827,1.0,1.0,0.0,0.0,7.99999999999998,7.499999999999981,3.9391861343713717,3.8768947841820953,2,0
59,1128488133,1210883260,SAC,210.68896258472833,141.8496409560246,68.83932162870374,0.9377392194092298,0.937615115212145,1.0,1.0,0.0,0.0,8.249999999999982,7.4499999999999815,2.5944252097799563,3.7379911971203517,2,0
60,17581913,625675342,SAC,285.3866121496966,142.48796452760143,142.89864762209515,0.9377207561282483,0.9381998584557834,1.0,1.0,0.0,0.0,7.699999999999981,7.499999999999981,3.894690543276451,4.003492654574369,2,0
61,1799361519,1585932013,SAC,193.0756932397731,130.83840907453407,62.23728416523903,0.9384189521556432,0.938656053773469,1.0,1.0,0.0,0.0,16.400000000000098,7.499999999999981,3.602051498549472,3.684155712248929,0,0
62,1368426741,538981926,SAC,248.04360690517174,103.26761249101963,144.7759944141521,0.9377859453349839,0.9382712838428549,1.0,1.0,0.0,0.0,8.349999999999984,8.04999999999998,3.1606385695697745,2.977528235852424,0,0
63,231897701,1961269853,SAC,288.2653386883785,142.18784173436546,146.07749695401304,0.9380552488186409,0.9378221499698469,1.0,1.0,0.0,0.0,7.89999999999998,7.549999999999981,3.549230938576502,3.500464240389547,1,0
64,1685254563,1709696035,SAC,288.0808213765815,142.28779605846495,145.79302531811658,0.9376607326934343,0.9379774077495315,1.0,1.0,0.0,0.0,7.84999999999998,7.499999999999981,3.90564235859304,3.905630997936231,0,0
65,1713601028,1692732589,SAC,211.8874996773932,142.99220865343239,68.89529102396082,0.9387835259396,0.9375965919990805,1.0,1.0,0.0,0.0,15.15000000000008,7.049999999999983,3.572485695502659,4.559311488958376,0,0
66,444688428,2068124764,SAC,278.76899580401664,142.98544942479435,135.7835463792223,0.9377184125743923,0.9375958395683155,1.0,1.0,0.0,0.0,7.79999999999998,7.349999999999982,2.4896676976804484,3.98242057235885,1,0
67,1719888006,267352360,SAC,287.64616987413854,142.23517010662601,145.41099976751252,0.9382684220106974,0.9386649302098233,1.0,1.0,0.0,0.0,7.549999999999981,7.199999999999982,5.6407410580501525,5.466256259801272,0,0
68,818661757,289255805,SAC,223.84129002403625,79.74128986018371,144.10000016385254,0.9377322758500373,0.9384658742567864,1.0,1.0,0.0,0.0,15.450000000000085,7.699999999999981,3.7979808776935706,3.319154950913644,0,0
